Susmita:1:03-07-2001:true:13.34:BUTTERFLY:Hillerød:World-Cup:Niels Jørgensen:true:1600
Lasse:2:03-11-1996:true:15.45:CRAWL:Hillerød:World-Cup:John Madsen:true:1600
Ikhra:3:04-02-1999:true:17.43:BREAST:Hillerød:World-Cup:Thomas Nielsen:true:1600
Hannan:4:05-01-2005:true:11.59:BUTTERFLY:Hillerød:World-Cup:Niels Jørgensen:true:1000
Mads:5:04-07-1991:false:21.21:BUTTERFLY:Allerød:World-cup:Thomas Nielsen:false:500
Mille:6:01-02-2002:false:20.01:BREAST:Solrød:World-cup:John Madsen:true:1600
Oliver:7:09-28-2003:true:11.98:CRAWL:Amager:World-cup:Niels Jørgensen:false:500
Casper:8:11-29-1997:false:12.22:CRAWL:Nørrebro:World-cup:Thomas Nielsen:true:1600
Lilly:9:12-02-2001:true:09.88:BREAST:Vesterbro:World-cup:John Madsen:true:1600
Ludvig:10:04-03-2005:true:05.22:CRAWL:Hillerød:World-cup:Niels Jørgensen:true:1000
Patrick:11:03-09-2002:true:17.65:CRAWL:Horens:World-cup:Thomas Nielsen:true:1600
Sigurd:12:07-07-2001:false:16.00:BUTTERFLY:Amager:World-cup:John Madsen:false:500
Sine:13:09-09-1989:false:24.87:BREAST:Vesterbro:World-cup:Niels Jørgensen:true:1600
Angelina:14:05-03-2002:true:23.23:BREAST:Hillerød:World-cup:John Madsen:false:500
Frederik:15:07-18-2000:true:18.23:BUTTERFLY:Allerød:World-cup:John Madsen:true:1600
Harald:99:12-12-1945:true:3.45:CRAWL:Helsingør:Scandinavian-Cup:Thomas Nielsen:true:1200
Lasse:45:14-05-1990:true:3.45:BUTTERFLY:Helsingør:Scandinavian-Cup:John Madsen:true:1600
Ole:34:13-12-1956:false:3.45:BREAST:København:Denmark-Cup:Thomas Nielsen:false:375
Ole:43:11-12-1956:true:5.67:CRAWL:Hillerød:Scandinavian-Cup:Thomas Nielsen:true:1200
Jens:45:11-11-1945:true:5.45:BREAST:København:World-Cup:John Madsen:true:1200
Karl:34:12-12-1944:true:5.5:BREAST:Hillerød:World-Cup:Niels Jørgensen:false:375
Bente:345:14-01-1965:true:34.4:BUTTERFLY:København:Denmark-Cup:Thomas Nielsen:true:1600
Per:43:12-12-1976:true:5.45:CRAWL:København:Denmark-Cup:John Madsen:false:500
Harald:37:12-12-1999:true:5.56:BREAST:København:Denmark-Cup:Niels Jørgensen:false:500
Lars:454:01-01-2000:true:6.56:BUTTERFLY:Helsingør:Scandinavian-Cup:Thomas Nielsen:1600.0
Harald:123:12-03-2001:true:6.56:BUTTERFLY:Hillerød:Denmark-Cup:Thomas Nielsen:1600.0
